model,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20
ALS,0.7940166666666668,0.8223447027702891,0.7090238095238096,0.7542462122417706,0.6359274815827447,0.6878004614884755
Item2Vec,0.7265833333333332,0.7461959368403795,0.656952380952381,0.6909027568909698,0.5995524576558633,0.6381178444198659
Two-Tower,0.48778333333333335,0.49029004559223655,0.48094206349206353,0.477909238422629,0.4787687275572724,0.46517294536773385
